StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,.,ps_0,ps_1,meta_Browser,meta_Version,meta_Operating System,meta_Resolution,ai_tool_use_1,ai_tool_use_2,ai_tool_use_3,ai_tool_use_4,ai_tool_use_5,ai_tool_use_6,ai_tool_use_7,ai_tool_use_8,ai_tool_use_9,ai_tool_use_9_TEXT,ai_tool_context_1,ai_tool_context_2,ai_tool_context_3,ai_tool_context_4,ai_tool_context_5,ai_tool_context_6,ai_tool_context_7,ai_tool_context_8,ai_tool_context_9,ai_tool_context_10,ai_tool_context_11,ai_tool_context_12,ai_tool_context_12_TEXT,gender,education,income,zipcode,profession,profession_59_TEXT,relationship,relationship_8_TEXT,family,family_6_TEXT,race,hispanic,political_leaning,political_leaning_4_TEXT,prior_mental_health,prior_mental_health_8_TEXT,overall_quality,overall_quality_work,overall_quality_pers,fl_satisfaction_1,fl_satisfaction_1_ai,fl_satisfaction_2,fl_satisfaction_2_ai,fl_health_1,fl_health_1_ai,fl_health_2,fl_health_2_ai,fl_purpose_1,fl_purpose_1_ai,fl_purpose_2,fl_purpose_2_ai,fl_character_1,fl_character_1_ai,fl_character_2,fl_character_2_ai,fl_social_1,fl_social_1_ai,fl_social_2,fl_social_2_ai,fl_financial_1,financial_1_ai,attn_2,engagement_1,engagement_1_ai,engagement_2,engagement_2_ai,engagement_3,engagement_3_ai,mastery_skills_1,mastery_skills_1_ai,mastery_skills_2,mastery_skills_2_ai,mastery_skills_3,mastery_skills_3_ai,mastery_learn_1,mastery_learn_2,mastery_learn_3,mastery_accomplish_1,mastery_accomplish_2,mastery_accomplish_3,mastery_efficacy_1,mastery_efficacy_2,mastery_efficacy_3,mastery_worth_1,mastery_worth_2,mastery_worth_3,agency_control_1,agency_control_1_ai,agency_control_2,agency_control_2_ai,agency_control_3,agency_control_3.1,agency_control_4_ai,attn_3,ex_reasoning_1,ex_reasoning_2,ex_reasoning_3,ex_reasoning_4,ex_reasoning_5,ex_reasoning_6,ex_reasoning_7,ex_reasoning_8,ex_reasoning_9,ex_reasoning_10,ex_reasoning_11,ex_reasoning_12,ex_reasoning_13,ex_reasoning_14,ex_reasoning_15,ex_reasoning_16,ex_reasoning_17,ex_creativity_1,ex_creativity_2,ex_creativity_3,ex_creativity_4,ex_creativity_5,ex_creativity_6,ex_creativity_7,ex_creativity_8,ex_creativity_9,ex_creativity_10,ex_creativity_11,bhv_reasoning_1,bhv_reasoning_2,bhv_learn_1,bhv_learn_2,bhv_social_1,bhv_social_2,bhv_purpose_1,bhv_purpose_2,bhv_health_1,bhv_health_2,add_work_1,add_work_2,add_work_3,add_work_4,add_work_5,add_work_6,add_work_7,add_students_1,add_students_2,add_students_3,add_students_4,add_students_5,add_social_1,add_social_2,add_social_3,add_social_4,add_social_5,add_social_6,add_social_7,add_social_8,add_social_9,add_learn_1,add_learn_2,add_learn_3,add_learn_4,add_learn_5,add_learn_6,add_learn_7,add_meaning_1,add_meaning_2,add_meaning_3,add_meaning_4,add_meaning_5,PROLIFIC_PID
2026-03-14 08:36:34,2026-03-14 08:54:55,IP Address,*******,100,1101,True,2026-03-14 08:54:55,R_xXCYjrhyJcOOB4,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,1-2 hours a day,A few times per week,A few times per month,About once a day,Less than once a month,Never,A few times per month,Never,Never,,A few times per month,A few times per week,Never,Several times a day,Never,Less than once a month,About once a month,A few times per week,A few times per week,A few times per week,About once a month,Never,,Male,High school graduate (high school diploma or equivalent including GED),"Less than $10,000",56494,Software / Engineering / IT,,Married,,"Live with partner/spouse,Live with children",,Asian or Asian American,No,Democrat,,ADHD,,Extremely positive,Extremely positive,Moderately positive,5,3 = No real effect,8,3 = No real effect,7,4 = Made this a little better,4,4 = Made this a little better,7,0 = Made this much worse,8,2 = Made this a little worse,6,1 = Made this worse,7,4 = Made this a little better,7,2 = Made this a little worse,6,2 = Made this a little worse,3,3 = No real effect,2.0,Agree,5 = Made this better,Agree,1 = Made this worse,Agree,2 = Made this a little worse,Strongly agree,4 = Made this a little better,Agree,6 = Made this much better,Agree,4 = Made this a little better,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,2 = Made this a little worse,Neither agree nor disagree,3 = No real effect,Strongly Disagree,Disagree,6 = Made this much better,,Strongly agree,Strongly Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Strongly Disagree,Neither agree nor disagree,Monthly,A few times,Weekly,Daily,Once,A few times,Monthly,Once,Never,A few times,Agree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Strongly Disagree,Disagree,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,f7b4f5d85b61a5b5bc4c46ea
2026-03-19 06:40:50,2026-03-19 07:01:56,IP Address,*******,100,1266,True,2026-03-19 07:01:56,R_LlRFOqRKKKZebT,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,About once a day,Less than once a month,1-2 hours a day,1-2 hours a day,A few times per week,Never,Never,Never,Never,,About once a month,A few times per week,Never,Several times a day,Never,Less than once a month,About once a day,Less than once a month,Several times a day,Never,About once a day,A few times per week,,Male,Master's degree,"$30,000 to $39,999",40369,Healthcare / Medicine,,Single,,Live alone,,Black or African American,No,Independent,,None,,Extremely positive,Slightly negatively,Slightly negatively,8,2 = Made this a little worse,7,2 = Made this a little worse,6,4 = Made this a little better,9,4 = Made this a little better,0 - Not at All Worthwhile,4 = Made this a little better,9,2 = Made this a little worse,9,5 = Made this better,3,2 = Made this a little worse,9,4 = Made this a little better,9,2 = Made this a little worse,7,2 = Made this a little worse,2.0,Strongly agree,3 = No real effect,Neither agree nor disagree,2 = Made this a little worse,Agree,3 = No real effect,Agree,6 = Made this much better,Strongly Disagree,3 = No real effect,Agree,4 = Made this a little better,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Disagree,5 = Made this better,Strongly Disagree,3 = No real effect,Strongly Disagree,Disagree,3 = No real effect,,Agree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Agree,Strongly agree,Agree,Strongly Disagree,Strongly agree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Weekly,Monthly,Never,Monthly,Never,A few times,Never,Once,A few times,Never,Disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Neither agree nor disagree,Strongly Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,11e7cfcb3e2ec6191d1c9de5
2026-03-22 19:43:00,2026-03-22 20:00:53,IP Address,*******,100,1073,True,2026-03-22 20:00:53,R_iNImEQnUAGWfb7,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,About once a day,1-2 hours a day,1-2 hours a day,A few times per month,A few times per month,A few times per month,A few times per month,A few times per month,Never,,A few times per month,Never,Several times a day,Never,Never,Never,Never,Several times a day,A few times per month,Never,Several times a day,Never,,Female,Associate degree in college (2-year),"$80,000 to $89,999",22609,Healthcare / Medicine,,Married,,Live with partner/spouse,,Multiracial,Yes,Democrat,,Bipolar disorder,,Slightly positive,Moderately positive,Moderately positive,4,5 = Made this better,6,3 = No real effect,7,3 = No real effect,9,4 = Made this a little better,5,4 = Made this a little better,8,3 = No real effect,5,2 = Made this a little worse,9,4 = Made this a little better,6,2 = Made this a little worse,4,5 = Made this better,4,2 = Made this a little worse,2.0,Strongly agree,5 = Made this better,Strongly Disagree,3 = No real effect,Agree,2 = Made this a little worse,Strongly agree,4 = Made this a little better,Strongly agree,3 = No real effect,Neither agree nor disagree,2 = Made this a little worse,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,2 = Made this a little worse,Disagree,4 = Made this a little better,Neither agree nor disagree,Disagree,2 = Made this a little worse,,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Strongly Disagree,Neither agree nor disagree,Never,A few times,Never,A few times,Never,Never,Daily,Weekly,Never,Monthly,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,3ce56812bea7d97598216611
2026-03-26 02:38:10,2026-03-26 02:53:20,IP Address,*******,100,910,True,2026-03-26 02:53:20,R_gEdHbYrZyw2jrH,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,A few times per month,About once a month,About once a day,Never,About once a month,Never,Never,Never,Never,,Several times a day,Several times a day,Never,A few times per week,Never,About once a month,Never,Never,About once a day,Never,Never,A few times per month,,Non-binary / third gender,High school graduate (high school diploma or equivalent including GED),"$70,000 to $79,999",41640,Product or Program management,,In a relationship,,Live with roommates,,Asian or Asian American,No,Democrat,,Anxiety disorder,,Slightly positive,Slightly positive,Slightly negatively,6,3 = No real effect,6,3 = No real effect,5,0 = Made this much worse,5,4 = Made this a little better,6,2 = Made this a little worse,3,7 = Not applicable / I do not use AI for this,3,4 = Made this a little better,7,3 = No real effect,7,2 = Made this a little worse,8,3 = No real effect,5,2 = Made this a little worse,2.0,Strongly agree,3 = No real effect,Strongly agree,4 = Made this a little better,Agree,3 = No real effect,Agree,4 = Made this a little better,Agree,5 = Made this better,Agree,2 = Made this a little worse,Agree,Disagree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Disagree,3 = No real effect,Disagree,3 = No real effect,Neither agree nor disagree,Strongly Disagree,3 = No real effect,,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,A few times,Never,A few times,Monthly,Never,A few times,Never,Monthly,Never,A few times,Neither agree nor disagree,Strongly Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,de860b17e40545c28beae31f
2026-03-30 14:42:12,2026-03-30 15:11:11,IP Address,*******,100,1739,True,2026-03-30 15:11:11,R_ZYvezT53DiSgEn,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,5-10 times a day,Never,Less than once a month,About once a day,About once a day,About once a day,A few times per week,Never,Never,,Never,About once a day,A few times per week,Several times a day,Several times a day,Never,Never,A few times per month,Several times a day,A few times per month,About once a day,Never,,Male,Less than high school,"$30,000 to $39,999",55908,Compliance / Risk / Ethics (incl. healthcare),,Divorced,,Live with partner/spouse,,Hispanic or Latino,No,Democrat,,Anxiety disorder,,Slightly positive,Extremely positive,Slightly positive,4,3 = No real effect,8,3 = No real effect,5,3 = No real effect,5,1 = Made this worse,5,3 = No real effect,10 - Strongly Agree,2 = Made this a little worse,7,6 = Made this much better,6,3 = No real effect,7,4 = Made this a little better,2,2 = Made this a little worse,5,4 = Made this a little better,2.0,Neither agree nor disagree,3 = No real effect,Agree,2 = Made this a little worse,Agree,4 = Made this a little better,Strongly agree,5 = Made this better,Agree,7 = Not applicable / I do not use AI for this,Agree,4 = Made this a little better,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,2 = Made this a little worse,Disagree,2 = Made this a little worse,Disagree,Strongly Disagree,3 = No real effect,,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Weekly,A few times,Never,Once,A few times,Monthly,Never,Never,A few times,Never,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,64df00cc8dab80cb6627ef53
2026-03-22 04:35:17,2026-03-22 04:42:15,IP Address,*******,100,418,True,2026-03-22 04:42:15,R_ofazUYHcX2pddB,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,About once a day,A few times per week,Never,Never,About once a month,Less than once a month,Never,Never,Never,,About once a day,A few times per week,About once a day,About once a month,About once a day,Never,Less than once a month,Several times a day,Several times a day,About once a month,About once a day,Never,,Male,Some college but no degree,"$70,000 to $79,999",47040,Product or Program management,,In a relationship,,Live with children,,White or Caucasian,No,Democrat,,OCD,,Moderately positive,Moderately positive,Moderately positive,9,3 = No real effect,2,2 = Made this a little worse,6,7 = Not applicable / I do not use AI for this,0 - Poor,4 = Made this a little better,3,3 = No real effect,5,2 = Made this a little worse,6,4 = Made this a little better,6,2 = Made this a little worse,7,2 = Made this a little worse,7,4 = Made this a little better,6,4 = Made this a little better,2.0,Strongly agree,4 = Made this a little better,Agree,5 = Made this better,Agree,4 = Made this a little better,Agree,5 = Made this better,Agree,3 = No real effect,Strongly Disagree,3 = No real effect,Agree,Agree,Neither agree nor disagree,Strongly Disagree,Disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,2 = Made this a little worse,Agree,2 = Made this a little worse,Disagree,Agree,6 = Made this much better,,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Strongly Disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Monthly,Monthly,Weekly,Once,A few times,A few times,Monthly,Never,Monthly,Never,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly Disagree,Agree,Neither agree nor disagree,Agree,05a349711487b5e3bfc4a84b
2026-03-25 10:33:23,2026-03-25 10:41:56,IP Address,*******,100,513,True,2026-03-25 10:41:56,R_d3RMrmi8oTnxYi,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,About once a month,Less than once a month,Never,A few times per month,Less than once a month,Never,About once a month,A few times per month,Never,,A few times per week,A few times per month,About once a day,About once a day,A few times per week,A few times per week,A few times per week,Never,About once a day,A few times per month,A few times per week,About once a month,,Female,Bachelor's degree in college (4-year),"Less than $10,000",40815,Product or Program management,,In a relationship,,Live with roommates,,American Indian/Native American or Alaska Native,No,Democrat,,None,,Moderately positive,Moderately negatively,Neither positive nor negative,7,3 = No real effect,7,5 = Made this better,5,1 = Made this worse,8,4 = Made this a little better,7,3 = No real effect,3,3 = No real effect,5,3 = No real effect,9,3 = No real effect,6,4 = Made this a little better,6,5 = Made this better,7,3 = No real effect,2.0,Agree,5 = Made this better,Neither agree nor disagree,4 = Made this a little better,Neither agree nor disagree,3 = No real effect,Agree,4 = Made this a little better,Neither agree nor disagree,4 = Made this a little better,Neither agree nor disagree,1 = Made this worse,Agree,Agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,3 = No real effect,Strongly Disagree,7 = Not applicable / I do not use AI for this,Strongly agree,Strongly agree,4 = Made this a little better,,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Disagree,Neither agree nor disagree,Agree,Strongly Disagree,Agree,Daily,Never,A few times,A few times,Once,A few times,A few times,Never,Never,A few times,Neither agree nor disagree,Strongly agree,Agree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly Disagree,ba717046d1497d6032604850
2026-03-30 13:13:57,2026-03-30 13:30:25,IP Address,*******,100,988,True,2026-03-30 13:30:25,R_54YKUvZAATTdgy,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,Never,Never,About once a month,Never,About once a month,A few times per month,Never,A few times per month,Never,,Several times a day,About once a day,Never,Never,Never,Never,Never,About once a day,A few times per month,Never,About once a month,Never,,Male,Some college but no degree,"$100,000 to $149,999",98862,Creative / Arts / Media,,Married,,Live alone,,Multiracial,No,Independent,,PTSD / trauma,,Slightly positive,Slightly positive,Slightly negatively,9,2 = Made this a little worse,6,4 = Made this a little better,4,3 = No real effect,10 - Excellent,3 = No real effect,4,5 = Made this better,7,5 = Made this better,6,4 = Made this a little better,5,5 = Made this better,8,3 = No real effect,6,4 = Made this a little better,7,3 = No real effect,2.0,Disagree,2 = Made this a little worse,Agree,7 = Not applicable / I do not use AI for this,Neither agree nor disagree,2 = Made this a little worse,Strongly Disagree,3 = No real effect,Agree,3 = No real effect,Strongly agree,3 = No real effect,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Strongly Disagree,2 = Made this a little worse,Strongly agree,3 = No real effect,Strongly Disagree,Neither agree nor disagree,7 = Not applicable / I do not use AI for this,,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Once,Never,Never,Never,Never,Never,Once,Daily,Daily,Never,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Neither agree nor disagree,4f86bc4f7f3e4a4fc490444a
2026-03-30 12:22:13,2026-03-30 12:27:38,IP Address,*******,100,325,True,2026-03-30 12:27:38,R_hJtqlCBC7D0nd6,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,1-2 hours a day,Less than once a month,A few times per month,About once a month,Never,Never,Never,Never,Never,,About once a day,Never,About once a day,About once a month,About once a day,Never,Never,About once a day,A few times per week,Never,Never,Never,,Male,Less than high school,"$60,000 to $69,999",46234,Other (please specify),,Married,,Live alone,,Hispanic or Latino,No,Democrat,,Depression,,Slightly positive,Slightly positive,Neither positive nor negative,2,4 = Made this a little better,5,3 = No real effect,6,2 = Made this a little worse,6,3 = No real effect,10 - Completely Worthwhile,3 = No real effect,7,7 = Not applicable / I do not use AI for this,10 - Completely True of Me,3 = No real effect,9,2 = Made this a little worse,6,4 = Made this a little better,6,3 = No real effect,4,3 = No real effect,2.0,Agree,4 = Made this a little better,Agree,4 = Made this a little better,Agree,3 = No real effect,Disagree,2 = Made this a little worse,Neither agree nor disagree,5 = Made this better,Agree,3 = No real effect,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,2 = Made this a little worse,Disagree,2 = Made this a little worse,Neither agree nor disagree,Strongly Disagree,4 = Made this a little better,,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Daily,Weekly,A few times,Never,A few times,Never,Never,Never,Never,Never,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,e8f74c4732da3a287583fff0
2026-03-18 03:39:54,2026-03-18 04:03:20,IP Address,*******,100,1406,True,2026-03-18 04:03:20,R_SLveBFouxZzN2i,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,A few times per week,Never,A few times per week,Never,Never,Never,A few times per month,Never,Never,,About once a day,A few times per week,Several times a day,A few times per week,About once a month,Several times a day,Never,Never,A few times per week,Never,Never,Never,,Female,Master's degree,"$10,000 to $19,999",52800,Product or Program management,,In a relationship,,"Live with partner/spouse,Live with children",,White or Caucasian,No,Democrat,,Anxiety disorder,,Neither positive nor negative,Moderately positive,Moderately positive,6,6 = Made this much better,8,3 = No real effect,5,7 = Not applicable / I do not use AI for this,8,3 = No real effect,4,1 = Made this worse,3,4 = Made this a little better,6,2 = Made this a little worse,1,1 = Made this worse,7,5 = Made this better,2,4 = Made this a little better,7,2 = Made this a little worse,2.0,Agree,5 = Made this better,Strongly agree,4 = Made this a little better,Agree,5 = Made this better,Disagree,4 = Made this a little better,Agree,4 = Made this a little better,Neither agree nor disagree,4 = Made this a little better,Agree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Strongly Disagree,Neither agree nor disagree,4 = Made this a little better,Disagree,3 = No real effect,Strongly Disagree,Agree,3 = No real effect,,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Strongly Disagree,Strongly agree,Daily,Never,Once,A few times,Never,Monthly,A few times,Weekly,Daily,Never,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly Disagree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,95fe5f405429135bbcbf69a2
